alpha,beta,status,anal_norm_hs,anal_norm_ps,anal_norm_md,total_analytical_score,raw_hs,raw_ps,raw_md
1.300000,1.300000,success,-3.921559,-85.095250,-3.228131,-118.741955,77665.000000,688,5.500000
1.300000,1.400000,success,-3.444182,-85.458905,-3.564458,-119.531000,78354.000000,670,4.500000
1.300000,1.500000,success,-3.099833,-86.994337,-3.564458,-121.539158,78851.000000,594,4.500000
1.400000,0.500000,success,-3.009069,-85.499311,-3.900784,-124.658497,78982.000000,668,3.500000
1.400000,0.600000,success,-3.514160,-85.054844,-3.564458,-124.729617,78253.000000,690,4.500000
1.400000,0.700000,success,-2.873962,-86.064997,-3.900784,-126.095507,79177.000000,640,3.500000
1.400000,0.800000,success,-3.527325,-85.337687,-3.564458,-125.851653,78234.000000,676,4.500000
1.400000,0.900000,success,-3.443489,-85.054844,-3.564458,-125.728283,78355.000000,690,4.500000
1.400000,1.000000,success,-3.108840,-86.145809,-3.564458,-127.277431,78838.000000,636,4.500000
1.400000,1.100000,success,-3.418546,-84.448753,-3.564458,-125.567704,78391.000000,720,4.500000
1.400000,1.200000,success,-2.699363,-87.317586,-3.900784,-129.624924,79429.000000,578,3.500000
1.400000,1.300000,success,-3.546032,-85.095250,-3.564458,-127.313177,78207.000000,688,4.500000
1.400000,1.400000,success,-2.643935,-86.792307,-3.900784,-129.614262,79509.000000,604,3.500000
1.400000,1.500000,success,-2.465178,-86.509464,-3.900784,-129.429604,79767.000000,618,3.500000
1.500000,0.500000,success,-2.643242,-86.064997,-3.900784,-133.691129,79510.000000,640,3.500000
1.500000,0.600000,success,-3.112997,-85.418499,-3.564458,-133.379421,78832.000000,672,4.500000
1.500000,0.700000,success,-2.778348,-87.075149,-3.900784,-136.121621,79315.000000,590,3.500000
1.500000,0.800000,success,-3.195447,-85.620530,-3.564458,-134.477808,78713.000000,662,4.500000
1.500000,0.900000,success,-2.481806,-86.630682,-3.900784,-135.938536,79743.000000,612,3.500000
1.500000,1.000000,success,-2.819227,-86.509464,-3.900784,-136.484207,79256.000000,618,3.500000
1.500000,1.100000,success,-2.330071,-87.398398,-3.900784,-137.718531,79962.000000,574,3.500000
1.500000,1.200000,success,-2.971655,-85.620530,-3.564458,-135.679799,79036.000000,662,4.500000
1.500000,1.300000,success,-2.949484,-85.660936,-3.564458,-136.074682,79068.000000,660,4.500000
1.500000,1.400000,success,-2.393121,-87.519616,-3.900784,-139.133644,79871.000000,568,3.500000
1.500000,1.500000,success,-2.471414,-86.751901,-3.900784,-138.450441,79758.000000,606,3.500000
