alpha,beta,norm_hs,norm_ps,norm_md,total_norm_score,status
1.000000,1.800000,0.371400,0.000000,0.200000,0.731400,success
1.000000,1.900000,0.371400,0.000000,0.200000,0.751400,success
1.000000,2.000000,0.371400,0.000000,0.200000,0.771400,success
1.100000,0.000000,0.228600,0.041700,0.600000,0.274470,success
1.100000,0.100000,0.228600,0.041700,0.600000,0.334470,success
1.100000,0.200000,0.257100,0.083300,0.600000,0.468730,success
1.100000,0.300000,0.371400,0.000000,0.200000,0.431400,success
1.100000,0.400000,0.371400,0.000000,0.200000,0.451400,success
1.100000,0.500000,0.371400,0.000000,0.200000,0.471400,success
1.100000,0.600000,0.371400,0.000000,0.200000,0.491400,success
1.100000,0.700000,0.371400,0.000000,0.200000,0.511400,success
1.100000,0.800000,0.371400,0.000000,0.200000,0.531400,success
1.100000,0.900000,0.371400,0.000000,0.200000,0.551400,success
1.100000,1.000000,0.371400,0.000000,0.200000,0.571400,success
1.100000,1.100000,0.371400,0.000000,0.200000,0.591400,success
1.100000,1.200000,0.371400,0.000000,0.200000,0.611400,success
1.100000,1.300000,0.371400,0.000000,0.200000,0.631400,success
1.100000,1.400000,0.371400,0.000000,0.200000,0.651400,success
1.100000,1.500000,0.371400,0.000000,0.200000,0.671400,success
1.100000,1.600000,0.371400,0.000000,0.200000,0.691400,success
1.100000,1.700000,0.371400,0.000000,0.200000,0.711400,success
1.100000,1.800000,0.371400,0.000000,0.200000,0.731400,success
1.100000,1.900000,0.371400,0.000000,0.200000,0.751400,success
1.100000,2.000000,0.371400,0.000000,0.200000,0.771400,success
1.200000,0.000000,0.228600,0.041700,0.600000,0.278640,success
1.200000,0.100000,0.228600,0.041700,0.600000,0.338640,success
1.200000,0.200000,0.371400,0.000000,0.200000,0.411400,success
1.200000,0.300000,0.371400,0.000000,0.200000,0.431400,success
1.200000,0.400000,0.371400,0.000000,0.200000,0.451400,success
1.200000,0.500000,0.371400,0.000000,0.200000,0.471400,success
1.200000,0.600000,0.371400,0.000000,0.200000,0.491400,success
1.200000,0.700000,0.371400,0.000000,0.200000,0.511400,success
1.200000,0.800000,0.371400,0.000000,0.200000,0.531400,success
1.200000,0.900000,0.371400,0.000000,0.200000,0.551400,success
1.200000,1.000000,0.371400,0.000000,0.200000,0.571400,success
1.200000,1.100000,0.371400,0.000000,0.200000,0.591400,success
1.200000,1.200000,0.371400,0.000000,0.200000,0.611400,success
1.200000,1.300000,0.371400,0.000000,0.200000,0.631400,success
1.200000,1.400000,0.371400,0.000000,0.200000,0.651400,success
1.200000,1.500000,0.371400,0.000000,0.200000,0.671400,success
1.200000,1.600000,0.371400,0.000000,0.200000,0.691400,success
1.200000,1.700000,0.371400,0.000000,0.200000,0.711400,success
1.200000,1.800000,0.371400,0.000000,0.200000,0.731400,success
1.200000,1.900000,0.371400,0.000000,0.200000,0.751400,success
1.200000,2.000000,0.371400,0.000000,0.200000,0.771400,success
1.300000,0.000000,0.228600,0.041700,0.600000,0.282810,success
1.300000,0.100000,0.371400,0.000000,0.200000,0.391400,success
1.300000,0.200000,0.371400,0.000000,0.200000,0.411400,success
1.300000,0.300000,0.371400,0.000000,0.200000,0.431400,success
1.300000,0.400000,0.371400,0.000000,0.200000,0.451400,success
1.300000,0.500000,0.371400,0.000000,0.200000,0.471400,success
1.300000,0.600000,0.371400,0.000000,0.200000,0.491400,success
1.300000,0.700000,0.371400,0.000000,0.200000,0.511400,success
