alpha,beta,status,anal_norm_hs,anal_norm_ps,anal_norm_md,total_analytical_score,scaled_hs,scaled_ps,scaled_md,total_scaled_score,raw_hs,raw_ps,raw_md
1.000000,0.800000,success,-22.263135,-203.733581,-2.954923,-228.360655,0.609512,0.983286,0.514770,2.004615,1960770.000000,14242,19.500000
1.000000,0.900000,success,-21.868610,-204.201811,-3.259514,-229.003984,0.607633,0.983440,0.516292,2.055735,1965895.000000,14172,18.500000
1.000000,1.000000,success,-22.059599,-204.897467,-2.954923,-229.911989,0.608543,0.983665,0.514770,2.106978,1963414.000000,14068,19.500000
1.000000,1.100000,success,-20.958778,-205.017869,-3.564105,-229.897162,0.603286,0.983703,0.517813,2.156583,1977714.000000,14050,17.500000
1.000000,1.200000,success,-20.453555,-199.211816,-4.173286,-224.673315,0.600865,0.981733,0.520854,2.207624,1984277.000000,14918,15.500000
1.000000,1.300000,success,-20.281350,-201.874039,-4.173286,-227.580661,0.600039,0.982664,0.520854,2.259813,1986514.000000,14520,15.500000
1.000000,1.400000,success,-20.080431,-203.385753,-4.173286,-229.308784,0.599074,0.983172,0.520854,2.311442,1989124.000000,14294,15.500000
1.000000,1.500000,success,-20.449552,-200.455971,-4.173286,-227.165452,0.600846,0.982174,0.520854,2.364302,1984329.000000,14732,15.500000
1.100000,0.500000,success,-19.662273,-214.502872,-2.041151,-256.636008,0.597064,0.986481,0.510204,1.937295,1994556.000000,12632,22.500000
1.100000,0.600000,success,-19.785673,-212.001186,-2.345742,-254.394422,0.597657,0.985797,0.511727,1.989070,1992953.000000,13006,21.500000
1.100000,0.700000,success,-19.574438,-212.603196,-2.650333,-255.293187,0.596641,0.985965,0.513249,2.040476,1995697.000000,12916,20.500000
1.100000,0.800000,success,-19.356738,-212.442660,-2.954923,-255.407602,0.595593,0.985920,0.514770,2.091922,1998525.000000,12940,19.500000
1.100000,0.900000,success,-19.252044,-212.442660,-2.650333,-255.324269,0.595088,0.985920,0.513249,2.141525,1999885.000000,12940,20.500000
1.100000,1.000000,success,-19.196618,-212.322258,-3.259514,-256.010616,0.594821,0.985887,0.516292,2.195589,2000605.000000,12958,18.500000
1.100000,1.100000,success,-18.390556,-212.081454,-3.868695,-255.935720,0.590930,0.985820,0.519334,2.246599,2011076.000000,12994,16.500000
1.100000,1.200000,success,-19.297617,-210.716898,-3.259514,-254.997621,0.595308,0.985433,0.516292,2.298835,1999293.000000,13198,18.500000
1.100000,1.300000,success,-19.601074,-209.847327,-3.564105,-255.066470,0.596769,0.985181,0.517813,2.353626,1995351.000000,13328,17.500000
1.100000,1.400000,success,-18.754981,-210.288802,-3.868695,-255.488837,0.592691,0.985310,0.519334,2.403599,2006342.000000,13262,16.500000
1.100000,1.500000,success,-19.064366,-210.141644,-3.564105,-255.566331,0.594184,0.985267,0.517813,2.454697,2002323.000000,13284,17.500000
1.200000,0.500000,success,-16.995978,-217.258740,-2.954923,-279.183928,0.584171,0.987197,0.514770,2.026192,2029192.000000,12220,19.500000
1.200000,0.600000,success,-17.613746,-217.392520,-2.650333,-280.074970,0.587169,0.987231,0.513249,2.079795,2021167.000000,12200,20.500000
1.200000,0.700000,success,-16.735784,-217.285496,-2.954923,-279.546825,0.582906,0.987204,0.514770,2.127890,2032572.000000,12216,19.500000
1.200000,0.800000,success,-17.113450,-214.516250,-3.259514,-277.140561,0.584742,0.986485,0.516292,2.181557,2027666.000000,12630,18.500000
1.200000,0.900000,success,-17.351781,-216.884156,-2.954923,-280.272200,0.585899,0.987102,0.514770,2.233714,2024570.000000,12276,19.500000
1.200000,1.000000,success,-17.419601,-216.870778,-2.954923,-280.619458,0.586228,0.987098,0.514770,2.285516,2023689.000000,12278,19.500000
1.200000,1.100000,success,-16.778662,-218.623296,-3.564105,-283.047133,0.583115,0.987537,0.517813,2.337754,2032015.000000,12016,17.500000
1.200000,1.200000,success,-17.120455,-216.041342,-3.564105,-280.646991,0.584776,0.986885,0.517813,2.390414,2027575.000000,12402,17.500000
1.200000,1.300000,success,-17.113681,-217.231984,-3.564105,-282.425398,0.584743,0.987190,0.517813,2.442528,2027663.000000,12224,17.500000
1.200000,1.400000,success,-16.608535,-216.830644,-3.259514,-281.368628,0.582287,0.987088,0.516292,2.489602,2034225.000000,12284,18.500000
1.200000,1.500000,success,-16.538791,-216.362414,-4.173286,-282.433617,0.581948,0.986968,0.520854,2.547592,2035131.000000,12354,15.500000
1.300000,0.500000,success,-14.706733,-221.432677,-2.954923,-304.046674,0.573008,0.988210,0.514770,2.115066,2058930.000000,11596,19.500000
1.300000,0.600000,success,-14.542071,-222.288869,-3.259514,-305.473309,0.572202,0.988408,0.516292,2.166908,2061069.000000,11468,18.500000
1.300000,0.700000,success,-15.001491,-220.670130,-2.954923,-303.941107,0.574450,0.988031,0.514770,2.219229,2055101.000000,11710,19.500000
1.300000,0.800000,success,-15.117808,-220.509594,-3.259514,-304.387892,0.575018,0.987993,0.516292,2.272443,2053590.000000,11734,18.500000
1.300000,0.900000,success,-15.107878,-220.402570,-3.564105,-304.838914,0.574970,0.987968,0.517813,2.325359,2053719.000000,11750,17.500000
1.300000,1.000000,success,-15.129586,-222.021309,-3.564105,-307.321392,0.575076,0.988346,0.517813,2.377739,2053437.000000,11508,17.500000
1.300000,1.100000,success,-15.369457,-220.175144,-3.564105,-305.517660,0.576248,0.987913,0.517813,2.430130,2050321.000000,11784,17.500000
1.300000,1.200000,success,-14.890870,-220.991203,-3.564105,-306.456359,0.573909,0.988107,0.517813,2.479823,2056538.000000,11662,17.500000
1.300000,1.300000,success,-15.263301,-219.787182,-3.564105,-305.619975,0.575729,0.987820,0.517813,2.533053,2051700.000000,11842,17.500000
1.300000,1.400000,success,-14.901031,-220.817288,-3.868695,-307.379680,0.573959,0.988066,0.519334,2.585512,2056406.000000,11688,16.500000
1.300000,1.500000,success,-15.110726,-219.345708,-3.868695,-306.063190,0.574984,0.987714,0.519334,2.638012,2053682.000000,11908,16.500000
1.400000,0.500000,success,-13.269123,-222.596563,-3.868695,-326.838658,0.565959,0.988478,0.519334,2.209495,2077605.000000,11422,16.500000
1.400000,0.600000,success,-13.805445,-223.292219,-3.259514,-328.370260,0.568592,0.988636,0.516292,2.262457,2070638.000000,11318,18.500000
1.400000,0.700000,success,-13.185676,-225.098249,-3.868695,-331.031311,0.565549,0.989034,0.519334,2.313731,2078689.000000,11048,16.500000
1.400000,0.800000,success,-13.290138,-224.135033,-3.868695,-330.174140,0.566062,0.988823,0.519334,2.365882,2077332.000000,11192,16.500000
1.400000,0.900000,success,-13.445408,-224.750421,-3.564105,-331.303691,0.566825,0.988959,0.517813,2.417399,2075315.000000,11100,17.500000
1.400000,1.000000,success,-13.725925,-222.489539,-3.564105,-328.775383,0.568202,0.988454,0.517813,2.469850,2071671.000000,11438,17.500000
1.400000,1.100000,success,-13.506761,-222.155089,-3.868695,-328.779450,0.567126,0.988377,0.519334,2.522121,2074518.000000,11488,16.500000
1.400000,1.200000,success,-13.511765,-223.559779,-3.868695,-331.137890,0.567151,0.988696,0.519334,2.574525,2074453.000000,11278,16.500000
1.400000,1.300000,success,-13.045109,-225.044737,-4.173286,-333.533013,0.564858,0.989023,0.520854,2.626601,2080515.000000,11056,15.500000
1.400000,1.400000,success,-13.040183,-224.910957,-3.564105,-332.905269,0.564834,0.988994,0.517813,2.674363,2080579.000000,11076,17.500000
