alpha,beta,status,emp_norm_hs,emp_norm_ps,emp_norm_md,norm_hs,norm_ps,norm_md,total_norm_score,empirical_score,raw_hs,raw_ps,raw_md
1.000000,0.600000,success,101.547312,113.102986,6.666860,0.399992,0.077828,0.175879,0.583348,544391.500000,533309.000000,11072,17.500000
1.000000,0.700000,success,103.641059,113.532026,5.904933,0.408239,0.076136,0.155779,0.593421,555429.850000,544305.000000,11114,15.500000
1.000000,0.800000,success,103.606214,114.819144,5.904933,0.408102,0.076692,0.155779,0.609417,555374.400000,544122.000000,11240,15.500000
1.000000,0.900000,success,104.645471,113.858913,5.523969,0.412195,0.076263,0.145729,0.619614,560739.050000,549580.000000,11146,14.500000
1.000000,1.000000,success,105.492034,117.127785,5.143006,0.415530,0.081692,0.135678,0.632900,565505.500000,554026.000000,11466,13.500000
1.000000,1.100000,success,105.730617,116.085832,5.143006,0.416470,0.077146,0.135678,0.642862,566657.850000,555279.000000,11364,13.500000
1.000000,1.200000,success,104.399462,114.124509,5.523969,0.411226,0.077247,0.145729,0.663348,559477.400000,548288.000000,11172,14.500000
1.000000,1.300000,success,103.548139,113.429873,5.904933,0.407873,0.075884,0.155779,0.686269,554941.150000,543817.000000,11104,15.500000
1.000000,1.400000,success,105.514883,115.125601,5.143006,0.415620,0.078182,0.135678,0.683751,565434.900000,554146.000000,11270,13.500000
1.000000,1.500000,success,103.626778,113.123417,5.904933,0.408176,0.074874,0.155779,0.716718,555327.250000,544230.000000,11074,15.500000
1.100000,0.500000,success,104.718589,110.794345,5.904933,0.412444,0.071490,0.155779,0.568972,561902.350000,549964.000000,10846,15.500000
1.100000,0.600000,success,105.443669,108.056664,5.904933,0.415251,0.066591,0.155779,0.581968,565417.100000,553772.000000,10578,15.500000
1.100000,0.700000,success,105.588571,110.181431,5.523969,0.415762,0.068914,0.145729,0.593577,566407.750000,554533.000000,10786,14.500000
1.100000,0.800000,success,104.737249,109.119048,5.904933,0.412557,0.070202,0.155779,0.614402,561824.600000,550062.000000,10682,15.500000
1.100000,0.900000,success,105.335136,109.037326,5.904933,0.414912,0.068662,0.155779,0.630641,564957.350000,553202.000000,10674,15.500000
1.100000,1.000000,success,105.662831,110.508319,5.523969,0.416203,0.068561,0.145729,0.637348,566837.300000,554923.000000,10818,14.500000
1.100000,1.100000,success,106.411713,112.122324,5.143006,0.419157,0.071970,0.135678,0.647570,570944.450000,558856.000000,10976,13.500000
1.100000,1.200000,success,105.662831,111.754576,5.523969,0.416203,0.071414,0.145729,0.669633,566974.400000,554923.000000,10940,14.500000
1.100000,1.300000,success,106.131620,110.590040,5.523969,0.418049,0.069874,0.145729,0.684358,569312.450000,557385.000000,10826,14.500000
1.100000,1.400000,success,105.703389,110.508319,5.523969,0.416362,0.069848,0.145729,0.697216,567056.100000,555136.000000,10818,14.500000
1.100000,1.500000,success,105.914744,110.590040,5.523969,0.417106,0.071793,0.145729,0.714672,568176.350000,556246.000000,10826,14.500000
1.200000,0.500000,success,106.772540,103.766269,5.904933,0.420574,0.058662,0.155779,0.568857,572948.350000,560751.000000,10158,15.500000
1.200000,0.600000,success,106.530148,105.993189,5.904933,0.419619,0.062854,0.155779,0.588511,571938.500000,559478.000000,10376,15.500000
1.200000,0.700000,success,106.772921,104.256600,5.904933,0.420575,0.061970,0.155779,0.603984,573011.050000,560753.000000,10206,15.500000
1.200000,0.800000,success,107.117372,107.239446,5.523969,0.421932,0.064167,0.145729,0.615515,575171.200000,562562.000000,10498,14.500000
1.200000,0.900000,success,106.785107,107.219016,5.523969,0.420623,0.063030,0.145729,0.627415,573425.250000,560817.000000,10496,14.500000
1.200000,1.000000,success,107.168783,106.095341,5.523969,0.422135,0.063561,0.145729,0.644136,575309.700000,562832.000000,10386,14.500000
1.200000,1.100000,success,106.297277,105.870606,5.904933,0.418702,0.063864,0.155779,0.666695,570708.850000,558255.000000,10364,15.500000
1.200000,1.200000,success,107.483340,106.830837,5.523969,0.423374,0.062020,0.145729,0.672672,577051.000000,564484.000000,10458,14.500000
