alpha,beta,status,emp_norm_hs,emp_norm_ps,emp_norm_md,norm_hs,norm_ps,norm_md,total_norm_score,empirical_score,raw_hs,raw_ps,raw_md
1.300000,1.500000,success,663.000000,8740.000000,48.500000,,,,,12097.750000,663.000000,8740,48.500000
1.400000,0.500000,success,617.000000,8768.000000,48.500000,,,,,12916.450000,617.000000,8768,48.500000
1.400000,0.600000,success,598.000000,8792.000000,48.500000,,,,,12935.900000,598.000000,8792,48.500000
1.400000,0.700000,success,647.000000,8750.000000,48.500000,,,,,12930.950000,647.000000,8750,48.500000
1.400000,0.800000,success,644.000000,8752.000000,48.500000,,,,,12935.600000,644.000000,8752,48.500000
1.400000,0.900000,success,623.000000,8772.000000,48.500000,,,,,12947.450000,623.000000,8772,48.500000
1.400000,1.000000,success,602.000000,8784.000000,48.500000,,,,,12948.100000,602.000000,8784,48.500000
1.400000,1.100000,success,637.000000,8760.000000,48.500000,,,,,12954.350000,637.000000,8760,48.500000
1.400000,1.200000,success,601.000000,8790.000000,48.500000,,,,,12965.200000,601.000000,8790,48.500000
1.400000,1.300000,success,639.000000,8760.000000,48.500000,,,,,12966.050000,639.000000,8760,48.500000
1.400000,1.400000,success,615.000000,8776.000000,49.500000,,,,,12970.700000,615.000000,8776,49.500000
1.400000,1.500000,success,608.000000,8768.000000,48.500000,,,,,12955.950000,608.000000,8768,48.500000
1.500000,0.500000,success,707.000000,8714.000000,49.500000,,,,,13802.750000,707.000000,8714,49.500000
1.500000,0.600000,success,658.000000,8744.000000,48.500000,,,,,13803.100000,658.000000,8744,48.500000
1.500000,0.700000,success,708.000000,8708.000000,48.500000,,,,,13803.950000,708.000000,8708,48.500000
1.500000,0.800000,success,699.000000,8714.000000,48.500000,,,,,13808.800000,699.000000,8714,48.500000
1.500000,0.900000,success,697.000000,8712.000000,48.500000,,,,,13808.650000,697.000000,8712,48.500000
1.500000,1.000000,success,773.000000,8662.000000,48.500000,,,,,13814.500000,773.000000,8662,48.500000
1.500000,1.100000,success,717.000000,8700.000000,48.500000,,,,,13820.350000,717.000000,8700,48.500000
1.500000,1.200000,success,744.000000,8682.000000,48.500000,,,,,13825.200000,744.000000,8682,48.500000
1.500000,1.300000,success,851.000000,8608.000000,48.500000,,,,,13826.050000,851.000000,8608,48.500000
1.500000,1.400000,success,750.000000,8672.000000,49.500000,,,,,13827.300000,750.000000,8672,49.500000
1.500000,1.500000,success,753.000000,8670.000000,48.500000,,,,,13830.750000,753.000000,8670,48.500000
